Tabelle: 12711-0008
Wanderungen zwischen Deutschland und dem Ausland:;;;
Deutschland, Jahre, Nationalität, Herkunfts-/Zielländer;;;
Wanderungsstatistik;;;;;;
Deutschland;;;;;;
;Deutsche;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;
Russische Föderation;41587;e;1710;e;39877;e
Spanien;6193;e;6767;e;-574;e
Türkei;1461;e;1307;e;154;e
Tschechien;799;e;688;e;111;e
Ungarn;680;e;769;e;-89;e
Ukraine;3729;e;178;e;3551;e
Vereinigtes Königreich;4464;e;5806;e;-1342;e
Belarus;387;e;35;e;352;e
Serbien;0;e;0;e;0;e
Zypern;96;e;120;e;-24;e
Übriges Europa;883;e;483;e;400;e
Algerien;341;e;296;e;45;e
Angola;18;e;14;e;4;e
Äthiopien;84;e;76;e;8;e
Cote d'Ivoire;42;e;22;e;20;e
Nigeria;137;e;112;e;25;e
Ghana;122;e;95;e;27;e
Kenia;188;e;164;e;24;e
Kongo, Republik;14;e;9;e;5;e
Kongo, Demokratische Republik;5;e;8;e;-3;e
Libyen;44;e;29;e;15;e
Marokko;228;e;164;e;64;e
Niger;20;e;18;e;2;e
Kamerun;75;e;39;e;36;e
Südafrika;1033;e;960;e;73;e
Ruanda;19;e;22;e;-3;e
Namibia;295;e;262;e;33;e
Senegal;50;e;38;e;12;e
Somalia;1;e;13;e;-12;e
Sudan (einschließlich Südsudan) (bis 08.07.2011);-;;-;;-;
Sudan (ohne Südsudan) (ab 09.07.2011);-;;-;;-;
Südsudan (ab 09.07.2011);-;;-;;-;
Tansania;130;e;113;e;17;e
Tunesien;245;e;209;e;36;e
Uganda;44;e;48;e;-4;e
Ägypten;54;e;53;e;1;e
Zentralafrikanische Republik;11;e;18;e;-7;e
Übriges Afrika;684;e;501;e;183;e
Argentinien;887;e;264;e;623;e
Bolivien, Plurinationaler Staat;218;e;148;e;70;e
Brasilien;1237;e;1069;e;168;e
Chile;416;e;279;e;137;e
Costa Rica;119;e;100;e;19;e
Honduras;30;e;22;e;8;e
Kanada;1104;e;2023;e;-919;e
Kolumbien;311;e;142;e;169;e
Mexiko;589;e;502;e;87;e
Nicaragua;65;e;36;e;29;e
Paraguay;329;e;204;e;125;e
Peru;226;e;172;e;54;e
Uruguay;118;e;73;e;45;e
Venezuela, Bolivarische Republik;277;e;151;e;126;e
Vereinigte Staaten;11268;e;13047;e;-1779;e
Übriges Amerika;988;e;655;e;333;e
Jemen;31;e;30;e;1;e
Armenien;88;e;11;e;77;e
Afghanistan;20;e;74;e;-54;e
Aserbaidschan;54;e;18;e;36;e
Georgien;68;e;29;e;39;e
Vietnam;134;e;88;e;46;e
Korea, Demokratische Volksrepublik;25;e;35;e;-10;e
Indien;414;e;332;e;82;e
Indonesien;302;e;212;e;90;e
Irak;45;e;24;e;21;e
Iran, Islamische Republik;137;e;155;e;-18;e
Israel;432;e;291;e;141;e
Japan;520;e;470;e;50;e
Kasachstan;33964;e;529;e;33435;e
Jordanien;133;e;127;e;6;e
Kuwait;22;e;34;e;-12;e
Kirgisistan;1715;e;49;e;1666;e
Libanon;229;e;229;e;0;e
Pakistan;233;e;261;e;-28;e
Philippinen;400;e;335;e;65;e
Korea, Republik;119;e;102;e;17;e
Vereinigte Arabische Emirate;226;e;309;e;-83;e
Tadschikistan;61;e;27;e;34;e
Saudi-Arabien;186;e;141;e;45;e
Singapur;467;e;372;e;95;e
Syrien;142;e;149;e;-7;e
Thailand;761;e;659;e;102;e
Usbekistan;873;e;38;e;835;e
China;823;e;1014;e;-191;e
Übriges Asien;774;e;687;e;87;e
Australien;1205;e;1715;e;-510;e
Neuseeland;306;e;455;e;-149;e
Übriges Ozeanien;85;e;86;e;-1;e
Unbekanntes Ausland;188;e;5783;e;-5595;e
Ungeklärt / Ohne Angabe;8669;e;10716;e;-2047;e
Insgesamt;184202;e;117683;e;66519;e
2003;;;;;;
Albanien;33;e;44;e;-11;e
Bosnien und Herzegowina;124;e;95;e;29;e
Andorra;19;e;15;e;4;e
Belgien;1929;e;2471;e;-542;e
Bulgarien;205;e;141;e;64;e
Dänemark;502;e;741;e;-239;e
Estland;104;e;60;e;44;e
Finnland;159;e;301;e;-142;e
Frankreich;5061;e;6864;e;-1803;e
Kroatien;267;e;342;e;-75;e
Slowenien;61;e;120;e;-59;e
Griechenland;883;e;1040;e;-157;e
Irland;587;e;774;e;-187;e
Island;49;e;66;e;-17;e
Italien;2531;e;3083;e;-552;e
Lettland;98;e;59;e;39;e
