Tabelle: 12711-0006
Wanderungen zwischen Deutschland und dem Ausland:;;;;;;;;;
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;;;;
;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;;;;;;;;;;;;;
2-Jährige;1494;e;728;e;766;e;1326;e;685;e;641;e;2820;e;1413;e;1407;e
3-Jährige;1382;e;718;e;664;e;1391;e;761;e;630;e;2773;e;1479;e;1294;e
4-Jährige;1341;e;726;e;615;e;1280;e;676;e;604;e;2621;e;1402;e;1219;e
5-Jährige;1263;e;732;e;531;e;1223;e;638;e;585;e;2486;e;1370;e;1116;e
6-Jährige;1291;e;832;e;459;e;1275;e;746;e;529;e;2566;e;1578;e;988;e
7-Jährige;1287;e;773;e;514;e;1288;e;744;e;544;e;2575;e;1517;e;1058;e
8-Jährige;1304;e;563;e;741;e;1224;e;564;e;660;e;2528;e;1127;e;1401;e
9-Jährige;1293;e;556;e;737;e;1249;e;526;e;723;e;2542;e;1082;e;1460;e
10-Jährige;1322;e;544;e;778;e;1282;e;538;e;744;e;2604;e;1082;e;1522;e
11-Jährige;1394;e;476;e;918;e;1317;e;515;e;802;e;2711;e;991;e;1720;e
12-Jährige;1373;e;461;e;912;e;1378;e;425;e;953;e;2751;e;886;e;1865;e
13-Jährige;1437;e;435;e;1002;e;1363;e;412;e;951;e;2800;e;847;e;1953;e
14-Jährige;1459;e;433;e;1026;e;1405;e;377;e;1028;e;2864;e;810;e;2054;e
15-Jährige;1455;e;400;e;1055;e;1410;e;368;e;1042;e;2865;e;768;e;2097;e
16-Jährige;1481;e;446;e;1035;e;1430;e;384;e;1046;e;2911;e;830;e;2081;e
17-Jährige;1591;e;638;e;953;e;1487;e;370;e;1117;e;3078;e;1008;e;2070;e
18-Jährige;2035;e;653;e;1382;e;1776;e;492;e;1284;e;3811;e;1145;e;2666;e
19-Jährige;2277;e;774;e;1503;e;2082;e;701;e;1381;e;4359;e;1475;e;2884;e
20-Jährige;2233;e;968;e;1265;e;2051;e;886;e;1165;e;4284;e;1854;e;2430;e
21-Jährige;2274;e;1069;e;1205;e;2032;e;1036;e;996;e;4306;e;2105;e;2201;e
22-Jährige;2241;e;1143;e;1098;e;1836;e;1125;e;711;e;4077;e;2268;e;1809;e
23-Jährige;2124;e;1269;e;855;e;1868;e;1143;e;725;e;3992;e;2412;e;1580;e
24-Jährige;2169;e;1275;e;894;e;1877;e;1282;e;595;e;4046;e;2557;e;1489;e
25-Jährige;2143;e;1277;e;866;e;1708;e;1283;e;425;e;3851;e;2560;e;1291;e
26-Jährige;2116;e;1411;e;705;e;1704;e;1272;e;432;e;3820;e;2683;e;1137;e
27-Jährige;1917;e;1401;e;516;e;1583;e;1291;e;292;e;3500;e;2692;e;808;e
28-Jährige;1869;e;1412;e;457;e;1424;e;1249;e;175;e;3293;e;2661;e;632;e
29-Jährige;1900;e;1533;e;367;e;1510;e;1322;e;188;e;3410;e;2855;e;555;e
30-Jährige;1886;e;1722;e;164;e;1475;e;1409;e;66;e;3361;e;3131;e;230;e
31-Jährige;1905;e;1742;e;163;e;1465;e;1365;e;100;e;3370;e;3107;e;263;e
32-Jährige;1939;e;1734;e;205;e;1386;e;1333;e;53;e;3325;e;3067;e;258;e
33-Jährige;1955;e;1761;e;194;e;1497;e;1286;e;211;e;3452;e;3047;e;405;e
34-Jährige;2101;e;1830;e;271;e;1537;e;1319;e;218;e;3638;e;3149;e;489;e
35-Jährige;2047;e;1800;e;247;e;1537;e;1243;e;294;e;3584;e;3043;e;541;e
36-Jährige;1985;e;1743;e;242;e;1451;e;1219;e;232;e;3436;e;2962;e;474;e
37-Jährige;2128;e;1707;e;421;e;1545;e;1245;e;300;e;3673;e;2952;e;721;e
38-Jährige;2076;e;1541;e;535;e;1543;e;1088;e;455;e;3619;e;2629;e;990;e
39-Jährige;2101;e;1482;e;619;e;1490;e;1000;e;490;e;3591;e;2482;e;1109;e
40-Jährige;1994;e;1399;e;595;e;1533;e;897;e;636;e;3527;e;2296;e;1231;e
41-Jährige;2057;e;1274;e;783;e;1527;e;853;e;674;e;3584;e;2127;e;1457;e
42-Jährige;1888;e;1296;e;592;e;1468;e;756;e;712;e;3356;e;2052;e;1304;e
43-Jährige;1753;e;1094;e;659;e;1375;e;650;e;725;e;3128;e;1744;e;1384;e
44-Jährige;1716;e;1012;e;704;e;1258;e;596;e;662;e;2974;e;1608;e;1366;e
45-Jährige;1570;e;926;e;644;e;1256;e;570;e;686;e;2826;e;1496;e;1330;e
46-Jährige;1548;e;900;e;648;e;1212;e;488;e;724;e;2760;e;1388;e;1372;e
47-Jährige;1465;e;797;e;668;e;1213;e;491;e;722;e;2678;e;1288;e;1390;e
48-Jährige;1407;e;829;e;578;e;1080;e;433;e;647;e;2487;e;1262;e;1225;e
49-Jährige;1399;e;713;e;686;e;1039;e;420;e;619;e;2438;e;1133;e;1305;e
50-Jährige;1380;e;693;e;687;e;1063;e;418;e;645;e;2443;e;1111;e;1332;e
51-Jährige;1250;e;696;e;554;e;953;e;375;e;578;e;2203;e;1071;e;1132;e
52-Jährige;1181;e;615;e;566;e;953;e;370;e;583;e;2134;e;985;e;1149;e
53-Jährige;1002;e;546;e;456;e;794;e;340;e;454;e;1796;e;886;e;910;e
54-Jährige;897;e;518;e;379;e;672;e;319;e;353;e;1569;e;837;e;732;e
55-Jährige;681;e;417;e;264;e;504;e;281;e;223;e;1185;e;698;e;487;e
56-Jährige;561;e;397;e;164;e;388;e;243;e;145;e;949;e;640;e;309;e
57-Jährige;639;e;493;e;146;e;412;e;288;e;124;e;1051;e;781;e;270;e
