year,country,emigration,immigration,return_rate_country
2002,Südafrika,960,1033,1.0760416666666666
2002,Tadschikistan,27,61,2.259259259259259
2002,Tansania,113,130,1.1504424778761062
2002,Thailand,659,761,1.1547799696509864
2002,Tschechien,688,799,1.1613372093023255
2002,Tunesien,209,245,1.1722488038277512
2002,Türkei,1307,1461,1.1178270849273144
2002,Uganda,48,44,0.9166666666666666
2002,Ukraine,178,3729,20.94943820224719
2002,Unbekanntes Ausland,5783,188,0.03250907833304513
2002,Ungarn,769,680,0.8842652795838751
2002,Ungeklärt / Ohne Angabe,10716,8669,0.808977230309817
2002,Uruguay,73,118,1.6164383561643836
2002,Usbekistan,38,873,22.973684210526315
2002,"Venezuela, Bolivarische Republik",151,277,1.8344370860927153
2002,Vereinigte Arabische Emirate,309,226,0.7313915857605178
2002,Vereinigte Staaten,13047,11268,0.8636468153598529
2002,Vereinigtes Königreich,5806,4464,0.7688598002066828
2002,Vietnam,88,134,1.5227272727272727
2002,Zentralafrikanische Republik,18,11,0.6111111111111112
2002,Zypern,120,96,0.8
2002,Ägypten,53,54,1.0188679245283019
2002,Äthiopien,76,84,1.105263157894737
2002,Österreich,6279,3687,0.5871954132823698
2002,Übriges Afrika,501,684,1.3652694610778444
2002,Übriges Amerika,655,988,1.5083969465648854
2002,Übriges Asien,687,774,1.1266375545851528
2002,Übriges Europa,483,883,1.8281573498964803
2002,Übriges Ozeanien,86,85,0.9883720930232558
2003,Afghanistan,156,64,0.41025641025641024
2003,Albanien,44,33,0.75
2003,Algerien,71,82,1.1549295774647887
2003,Andorra,15,19,1.2666666666666666
2003,Angola,26,15,0.5769230769230769
2003,Argentinien,350,465,1.3285714285714285
2003,Armenien,11,38,3.4545454545454546
2003,Aserbaidschan,13,46,3.5384615384615383
2003,Australien,1923,1189,0.6183047321892876
2003,Belarus,32,295,9.21875
2003,Belgien,2471,1929,0.7806556050182113
2003,"Bolivien, Plurinationaler Staat",136,217,1.5955882352941178
2003,Bosnien und Herzegowina,95,124,1.305263157894737
2003,Brasilien,1114,1287,1.1552962298025136
2003,Bulgarien,141,205,1.4539007092198581
2003,Chile,336,369,1.0982142857142858
2003,China,1133,898,0.7925860547219771
2003,Costa Rica,87,105,1.206896551724138
2003,Cote d'Ivoire,22,64,2.909090909090909
2003,Dänemark,741,502,0.6774628879892037
2003,Estland,60,104,1.7333333333333334
2003,Finnland,301,159,0.5282392026578073
2003,Frankreich,6864,5061,0.7373251748251748
2003,Georgien,21,85,4.0476190476190474
2003,Ghana,113,140,1.238938053097345
2003,Griechenland,1040,883,0.8490384615384615
2003,Honduras,33,35,1.0606060606060606
2003,Indien,373,387,1.0375335120643432
2003,Indonesien,196,251,1.280612244897959
2003,Insgesamt,127267,167216,1.3138991254606458
2003,Irak,72,64,0.8888888888888888
2003,"Iran, Islamische Republik",194,130,0.6701030927835051
2003,Irland,774,587,0.7583979328165374
2003,Island,66,49,0.7424242424242424
2003,Israel,367,365,0.9945504087193461
2003,Italien,3083,2531,0.8209536166072008
2003,Japan,526,439,0.8346007604562737
2003,Jemen,30,33,1.1
2003,Jordanien,125,138,1.104
2003,Kamerun,63,55,0.873015873015873
2003,Kanada,2442,1155,0.47297297297297297
2003,Kasachstan,571,23557,41.25569176882662
2003,Kenia,185,237,1.281081081081081
2003,Kirgisistan,68,1822,26.794117647058822
2003,Kolumbien,171,250,1.4619883040935673
2003,"Kongo, Demokratische Republik",11,5,0.45454545454545453
2003,"Kongo, Republik",19,17,0.8947368421052632
2003,"Korea, Demokratische Volksrepublik",61,38,0.6229508196721312
2003,"Korea, Republik",134,98,0.7313432835820896
2003,Kosovo,0,0,
2003,Kroatien,342,267,0.7807017543859649
2003,Kuwait,64,52,0.8125
2003,Lettland,59,98,1.6610169491525424
2003,Libanon,349,293,0.839541547277937
2003,Libyen,35,28,0.8
2003,Litauen,56,264,4.714285714285714
2003,Luxemburg,735,518,0.7047619047619048
2003,Malta,67,51,0.7611940298507462
2003,Marokko,163,202,1.2392638036809815
2003,Mexiko,493,534,1.0831643002028397
2003,Montenegro (ab 03.06.2006),0,0,
2003,Namibia,195,253,1.2974358974358975
2003,Neuseeland,569,310,0.5448154657293497
2003,Nicaragua,51,39,0.7647058823529411
2003,Niederlande,3345,3576,1.0690582959641255
2003,Niger,12,19,1.5833333333333333
2003,Nigeria,103,150,1.4563106796116505
2003,Nordmazedonien,44,62,1.4090909090909092
2003,Norwegen,858,367,0.42773892773892774
2003,Pakistan,234,229,0.9786324786324786
2003,Paraguay,228,376,1.6491228070175439
2003,Peru,147,260,1.7687074829931972
2003,Philippinen,393,449,1.1424936386768447
2003,Polen,10262,16904,1.6472422529721302
2003,Portugal,845,768,0.9088757396449704
2003,Ruanda,21,12,0.5714285714285714
2003,Rumänien,415,600,1.4457831325301205
2003,Russische Föderation,1854,36280,19.568500539374327
2003,Saudi-Arabien,139,191,1.3741007194244603
2003,Schweden,1231,534,0.4337936636880585
2003,Schweiz,11225,4420,0.3937639198218263
2003,Senegal,54,49,0.9074074074074074
2003,Serbien,0,0,
2003,Singapur,341,462,1.3548387096774193
2003,Slowakei,124,118,0.9516129032258065
2003,Slowenien,120,61,0.5083333333333333
2003,Somalia,2,4,2.0
2003,Spanien,6769,6156,0.9094400945486778
2003,Syrien,158,168,1.0632911392405062
2003,Südafrika,973,819,0.841726618705036
2003,Tadschikistan,70,57,0.8142857142857143
2003,Tansania,131,134,1.0229007633587786
2003,Thailand,715,732,1.0237762237762238
2003,Tschechien,710,702,0.9887323943661972
2003,Tunesien,203,247,1.2167487684729064
2003,Türkei,1602,1492,0.9313358302122348
2003,Uganda,68,50,0.7352941176470589
2003,Ukraine,153,2877,18.80392156862745
2003,Unbekanntes Ausland,0,0,
2003,Ungarn,653,709,1.0857580398162328
2003,Ungeklärt / Ohne Angabe,23687,14151,0.5974163043019378
2003,Uruguay,65,93,1.4307692307692308
2003,Usbekistan,37,731,19.756756756756758
2003,"Venezuela, Bolivarische Republik",157,330,2.1019108280254777
2003,Vereinigte Arabische Emirate,464,211,0.4547413793103448
2003,Vereinigte Staaten,12325,10348,0.8395943204868154
2003,Vereinigtes Königreich,6264,4186,0.6682630906768838
2003,Vietnam,94,112,1.1914893617021276
2003,Zentralafrikanische Republik,12,24,2.0
2003,Zypern,144,126,0.875
2003,Ägypten,347,298,0.8587896253602305
2003,Äthiopien,99,110,1.1111111111111112
2003,Österreich,6903,3856,0.558597711140084
2003,Übriges Afrika,523,671,1.282982791586998
2003,Übriges Amerika,639,845,1.322378716744914
2003,Übriges Asien,696,777,1.1163793103448276
2003,Übriges Europa,456,702,1.5394736842105263
2003,Übriges Ozeanien,95,81,0.8526315789473684
2004,Afghanistan,121,79,0.6528925619834711
2004,Albanien,31,66,2.129032258064516
2004,Algerien,114,73,0.6403508771929824
2004,Andorra,22,13,0.5909090909090909
2004,Angola,20,10,0.5
2004,Argentinien,372,316,0.8494623655913979
2004,Armenien,22,15,0.6818181818181818
2004,Aserbaidschan,25,59,2.36
2004,Australien,2190,1335,0.6095890410958904
2004,Belarus,52,361,6.9423076923076925
2004,Belgien,2584,1893,0.7325851393188855
2004,"Bolivien, Plurinationaler Staat",175,180,1.0285714285714285
2004,Bosnien und Herzegowina,99,142,1.4343434343434343
2004,Brasilien,1155,1137,0.9844155844155844
2004,Bulgarien,148,153,1.0337837837837838
2004,Chile,336,341,1.0148809523809523
2004,China,1696,837,0.49351415094339623
2004,Costa Rica,115,94,0.8173913043478261
2004,Cote d'Ivoire,10,21,2.1
2004,Dänemark,735,504,0.6857142857142857
2004,Estland,64,82,1.28125
2004,Finnland,333,182,0.5465465465465466
2004,Frankreich,7270,5159,0.7096286107290234
2004,Georgien,34,88,2.588235294117647
2004,Ghana,134,154,1.1492537313432836
2004,Griechenland,1165,783,0.6721030042918454
2004,Honduras,34,47,1.3823529411764706
2004,Indien,404,378,0.9356435643564357
2004,Indonesien,220,258,1.1727272727272726
2004,Insgesamt,150667,177993,1.1813668553830634
2004,Irak,162,48,0.2962962962962963
2004,"Iran, Islamische Republik",313,184,0.5878594249201278
2004,Irland,883,497,0.5628539071347678
2004,Island,65,47,0.7230769230769231
2004,Israel,416,289,0.6947115384615384
2004,Italien,3448,2421,0.7021461716937355
2004,Japan,511,498,0.974559686888454
2004,Jemen,36,26,0.7222222222222222
2004,Jordanien,153,149,0.9738562091503268
2004,Kamerun,54,67,1.2407407407407407
2004,Kanada,2511,1038,0.4133811230585424
2004,Kasachstan,671,17750,26.453055141579732
2004,Kenia,205,187,0.9121951219512195
2004,Kirgisistan,58,1430,24.655172413793103
2004,Kolumbien,169,236,1.3964497041420119
2004,"Kongo, Demokratische Republik",23,13,0.5652173913043478
2004,"Kongo, Republik",9,11,1.2222222222222223
2004,"Korea, Demokratische Volksrepublik",44,53,1.2045454545454546
2004,"Korea, Republik",105,88,0.8380952380952381
2004,Kosovo,0,0,
2004,Kroatien,338,234,0.6923076923076923
2004,Kuwait,67,33,0.4925373134328358
2004,Lettland,74,104,1.4054054054054055
2004,Libanon,437,305,0.6979405034324943
2004,Libyen,26,34,1.3076923076923077
2004,Litauen,106,227,2.141509433962264
2004,Luxemburg,732,571,0.7800546448087432
2004,Malta,67,36,0.5373134328358209
2004,Marokko,186,215,1.1559139784946237
2004,Mexiko,546,569,1.0421245421245422
2004,Montenegro (ab 03.06.2006),0,0,
2004,Namibia,225,203,0.9022222222222223
2004,Neuseeland,705,370,0.524822695035461
2004,Nicaragua,40,40,1.0
2004,Niederlande,3571,3647,1.0212825539064687
2004,Niger,11,20,1.8181818181818181
2004,Nigeria,91,150,1.6483516483516483
2004,Nordmazedonien,30,33,1.1
2004,Norwegen,886,327,0.3690744920993228
2004,Pakistan,248,241,0.9717741935483871
2004,Paraguay,256,255,0.99609375
2004,Peru,185,216,1.1675675675675676
2004,Philippinen,421,377,0.8954869358669834
2004,Polen,9658,14654,1.5172913646717747
2004,Portugal,816,742,0.9093137254901961
2004,Ruanda,15,18,1.2
2004,Rumänien,463,586,1.2656587473002159
2004,Russische Föderation,2314,30931,13.366897147796024
2004,Saudi-Arabien,123,155,1.2601626016260163
2004,Schweden,1327,570,0.4295403165033911
2004,Schweiz,12818,4795,0.37408332033078484
2004,Senegal,30,47,1.5666666666666667
2004,Serbien,0,0,
2004,Singapur,469,320,0.6823027718550106
2004,Slowakei,181,138,0.7624309392265194
2004,Slowenien,191,90,0.4712041884816754
2004,Somalia,12,5,0.4166666666666667
2004,Spanien,7196,5922,0.8229571984435797
2004,Syrien,167,150,0.8982035928143712
2004,Südafrika,1074,843,0.7849162011173184
2004,Tadschikistan,51,38,0.7450980392156863
2004,Tansania,130,130,1.0
