year,dimension_type,dimension_value,direction,value
2000,country,Serbien,immigration,0.0
2000,country,Singapur,emigration,419.0
2000,country,Singapur,immigration,514.0
2000,country,Slowakei,emigration,101.0
2000,country,Slowakei,immigration,124.0
2000,country,Slowenien,emigration,124.0
2000,country,Slowenien,immigration,88.0
2000,country,Somalia,emigration,4.0
2000,country,Somalia,immigration,2.0
2000,country,Spanien,emigration,6750.0
2000,country,Spanien,immigration,5747.0
2000,country,Syrien,emigration,118.0
2000,country,Syrien,immigration,154.0
2000,country,Südafrika,emigration,786.0
2000,country,Südafrika,immigration,1260.0
2000,country,Tadschikistan,emigration,17.0
2000,country,Tadschikistan,immigration,44.0
2000,country,Tansania,emigration,115.0
2000,country,Tansania,immigration,175.0
2000,country,Thailand,emigration,627.0
2000,country,Thailand,immigration,711.0
2000,country,Tschechien,emigration,621.0
2000,country,Tschechien,immigration,911.0
2000,country,Tunesien,emigration,192.0
2000,country,Tunesien,immigration,271.0
2000,country,Türkei,emigration,1339.0
2000,country,Türkei,immigration,1385.0
2000,country,Uganda,emigration,45.0
2000,country,Uganda,immigration,74.0
2000,country,Ukraine,emigration,110.0
2000,country,Ukraine,immigration,2997.0
2000,country,Unbekanntes Ausland,emigration,7667.0
2000,country,Unbekanntes Ausland,immigration,336.0
2000,country,Ungarn,emigration,741.0
2000,country,Ungarn,immigration,823.0
2000,country,Ungeklärt / Ohne Angabe,emigration,8113.0
2000,country,Ungeklärt / Ohne Angabe,immigration,8075.0
2000,country,Uruguay,emigration,74.0
2000,country,Uruguay,immigration,89.0
2000,country,Usbekistan,emigration,26.0
2000,country,Usbekistan,immigration,863.0
2000,country,"Venezuela, Bolivarische Republik",emigration,176.0
2000,country,"Venezuela, Bolivarische Republik",immigration,328.0
2000,country,Vereinigte Arabische Emirate,emigration,292.0
2000,country,Vereinigte Arabische Emirate,immigration,215.0
2000,country,Vereinigte Staaten,emigration,13855.0
2000,country,Vereinigte Staaten,immigration,11252.0
2000,country,Vereinigtes Königreich,emigration,5760.0
2000,country,Vereinigtes Königreich,immigration,4657.0
2000,country,Vietnam,emigration,60.0
2000,country,Vietnam,immigration,106.0
2000,country,Zentralafrikanische Republik,emigration,14.0
2000,country,Zentralafrikanische Republik,immigration,14.0
2000,country,Zypern,emigration,135.0
2000,country,Zypern,immigration,156.0
2000,country,Ägypten,emigration,302.0
2000,country,Ägypten,immigration,366.0
2000,country,Äthiopien,emigration,83.0
2000,country,Äthiopien,immigration,65.0
2000,country,Österreich,emigration,5225.0
2000,country,Österreich,immigration,3650.0
2000,country,Übriges Afrika,emigration,590.0
2000,country,Übriges Afrika,immigration,753.0
2000,country,Übriges Amerika,emigration,749.0
2000,country,Übriges Amerika,immigration,987.0
2000,country,Übriges Asien,emigration,633.0
2000,country,Übriges Asien,immigration,932.0
2000,country,Übriges Europa,emigration,503.0
2000,country,Übriges Europa,immigration,777.0
2000,country,Übriges Ozeanien,emigration,94.0
2000,country,Übriges Ozeanien,immigration,104.0
2001,country,Afghanistan,emigration,27.0
2001,country,Afghanistan,immigration,31.0
2001,country,Albanien,emigration,29.0
2001,country,Albanien,immigration,29.0
2001,country,Algerien,emigration,56.0
2001,country,Algerien,immigration,60.0
2001,country,Andorra,emigration,7.0
2001,country,Andorra,immigration,7.0
2001,country,Angola,emigration,6.0
2001,country,Angola,immigration,15.0
