year,dimension_type,dimension_value,direction,value
2001,country,Georgien,emigration,17
2001,country,Georgien,immigration,71
2001,country,Ghana,emigration,99
2001,country,Ghana,immigration,135
2001,country,Griechenland,emigration,962
2001,country,Griechenland,immigration,1009
2001,country,Honduras,emigration,23
2001,country,Honduras,immigration,59
2001,country,Indien,emigration,381
2001,country,Indien,immigration,462
2001,country,Indonesien,emigration,276
2001,country,Indonesien,immigration,323
2001,country,Irak,emigration,17
2001,country,Irak,immigration,80
2001,country,"Iran, Islamische Republik",emigration,90
2001,country,"Iran, Islamische Republik",immigration,111
2001,country,Irland,emigration,746
2001,country,Irland,immigration,611
2001,country,Island,emigration,71
2001,country,Island,immigration,61
2001,country,Israel,emigration,381
2001,country,Israel,immigration,399
2001,country,Italien,emigration,3013
2001,country,Italien,immigration,2559
2001,country,Japan,emigration,452
2001,country,Japan,immigration,484
2001,country,Jemen,emigration,28
2001,country,Jemen,immigration,42
2001,country,Jordanien,emigration,112
2001,country,Jordanien,immigration,157
2001,country,Kamerun,emigration,47
2001,country,Kamerun,immigration,77
2001,country,Kanada,emigration,1926
2001,country,Kanada,immigration,1322
2001,country,Kasachstan,emigration,557
2001,country,Kasachstan,immigration,41212
2001,country,Kenia,emigration,144
2001,country,Kenia,immigration,228
2001,country,Kirgisistan,emigration,74
2001,country,Kirgisistan,immigration,1917
2001,country,Kolumbien,emigration,131
2001,country,Kolumbien,immigration,385
2001,country,"Kongo, Demokratische Republik",emigration,8
2001,country,"Kongo, Demokratische Republik",immigration,9
2001,country,"Kongo, Republik",emigration,19
2001,country,"Kongo, Republik",immigration,18
2001,country,"Korea, Demokratische Volksrepublik",emigration,27
2001,country,"Korea, Demokratische Volksrepublik",immigration,28
2001,country,"Korea, Republik",emigration,95
2001,country,"Korea, Republik",immigration,127
2001,country,Kosovo,emigration,0
2001,country,Kosovo,immigration,0
2001,country,Kroatien,emigration,260
2001,country,Kroatien,immigration,247
2001,country,Kuwait,emigration,31
2001,country,Kuwait,immigration,23
2001,country,Lettland,emigration,68
2001,country,Lettland,immigration,177
2001,country,Libanon,emigration,305
2001,country,Libanon,immigration,240
2001,country,Libyen,emigration,41
2001,country,Libyen,immigration,36
2001,country,Litauen,emigration,54
2001,country,Litauen,immigration,256
2001,country,Luxemburg,emigration,638
2001,country,Luxemburg,immigration,503
2001,country,Malta,emigration,43
2001,country,Malta,immigration,51
2001,country,Marokko,emigration,147
2001,country,Marokko,immigration,191
2001,country,Mexiko,emigration,500
2001,country,Mexiko,immigration,621
2001,country,Montenegro (ab 03.06.2006),emigration,0
2001,country,Montenegro (ab 03.06.2006),immigration,0
2001,country,Namibia,emigration,204
2001,country,Namibia,immigration,341
2001,country,Neuseeland,emigration,393
2001,country,Neuseeland,immigration,338
2001,country,Nicaragua,emigration,18
2001,country,Nicaragua,immigration,36
2001,country,Niederlande,emigration,3875
2001,country,Niederlande,immigration,3762
2001,country,Niger,emigration,4
2001,country,Niger,immigration,24
2001,country,Nigeria,emigration,100
2001,country,Nigeria,immigration,159
2001,country,Nordmazedonien,emigration,31
2001,country,Nordmazedonien,immigration,57
2001,country,Norwegen,emigration,659
2001,country,Norwegen,immigration,332
2001,country,Pakistan,emigration,196
2001,country,Pakistan,immigration,284
2001,country,Paraguay,emigration,240
2001,country,Paraguay,immigration,339
2001,country,Peru,emigration,133
2001,country,Peru,immigration,247
2001,country,Philippinen,emigration,361
2001,country,Philippinen,immigration,477
2001,country,Polen,emigration,11420
2001,country,Polen,immigration,20872
2001,country,Portugal,emigration,958
2001,country,Portugal,immigration,879
2001,country,Ruanda,emigration,32
2001,country,Ruanda,immigration,23
2001,country,Rumänien,emigration,345
2001,country,Rumänien,immigration,817
2001,country,Russische Föderation,emigration,1440
2001,country,Russische Föderation,immigration,42425
2001,country,Saudi-Arabien,emigration,144
2001,country,Saudi-Arabien,immigration,182
2001,country,Schweden,emigration,1031
2001,country,Schweden,immigration,506
2001,country,Schweiz,emigration,9092
2001,country,Schweiz,immigration,4093
2001,country,Senegal,emigration,57
2001,country,Senegal,immigration,57
2001,country,Serbien,emigration,0
2001,country,Serbien,immigration,0
2001,country,Singapur,emigration,420
2001,country,Singapur,immigration,504
2001,country,Slowakei,emigration,84
2001,country,Slowakei,immigration,132
2001,country,Slowenien,emigration,110
2001,country,Slowenien,immigration,79
2001,country,Somalia,emigration,5
2001,country,Somalia,immigration,17
2001,country,Spanien,emigration,6697
2001,country,Spanien,immigration,5909
2001,country,Syrien,emigration,105
2001,country,Syrien,immigration,148
2001,country,Südafrika,emigration,804
2001,country,Südafrika,immigration,1186
2001,country,Tadschikistan,emigration,5
2001,country,Tadschikistan,immigration,61
2001,country,Tansania,emigration,134
2001,country,Tansania,immigration,148
2001,country,Thailand,emigration,621
2001,country,Thailand,immigration,698
2001,country,Tschechien,emigration,669
2001,country,Tschechien,immigration,908
2001,country,Tunesien,emigration,205
2001,country,Tunesien,immigration,244
2001,country,Türkei,emigration,1384
2001,country,Türkei,immigration,1514
2001,country,Uganda,emigration,68
2001,country,Uganda,immigration,56
2001,country,Ukraine,emigration,190
2001,country,Ukraine,immigration,3347
2001,country,Unbekanntes Ausland,emigration,3881
2001,country,Unbekanntes Ausland,immigration,196
2001,country,Ungarn,emigration,673
2001,country,Ungarn,immigration,766
2001,country,Ungeklärt / Ohne Angabe,emigration,8072
2001,country,Ungeklärt / Ohne Angabe,immigration,8096
2001,country,Uruguay,emigration,58
2001,country,Uruguay,immigration,114
2001,country,Usbekistan,emigration,17
2001,country,Usbekistan,immigration,933
2001,country,"Venezuela, Bolivarische Republik",emigration,156
2001,country,"Venezuela, Bolivarische Republik",immigration,287
2001,country,Vereinigte Arabische Emirate,emigration,310
2001,country,Vereinigte Arabische Emirate,immigration,219
2001,country,Vereinigte Staaten,emigration,13485
2001,country,Vereinigte Staaten,immigration,11514
2001,country,Vereinigtes Königreich,emigration,5596
2001,country,Vereinigtes Königreich,immigration,4594
2001,country,Vietnam,emigration,88
2001,country,Vietnam,immigration,143
2001,country,Zentralafrikanische Republik,emigration,19
2001,country,Zentralafrikanische Republik,immigration,23
2001,country,Zypern,emigration,116
2001,country,Zypern,immigration,131
2001,country,Ägypten,emigration,313
2001,country,Ägypten,immigration,391
2001,country,Äthiopien,emigration,72
2001,country,Äthiopien,immigration,80
2001,country,Österreich,emigration,5630
2001,country,Österreich,immigration,3657
2001,country,Übriges Afrika,emigration,495
2001,country,Übriges Afrika,immigration,700
2001,country,Übriges Amerika,emigration,691
2001,country,Übriges Amerika,immigration,1044
2001,country,Übriges Asien,emigration,566
2001,country,Übriges Asien,immigration,882
2001,country,Übriges Europa,emigration,487
2001,country,Übriges Europa,immigration,670
2001,country,Übriges Ozeanien,emigration,84
2001,country,Übriges Ozeanien,immigration,92
2002,country,Afghanistan,emigration,74
2002,country,Afghanistan,immigration,20
2002,country,Albanien,emigration,30
2002,country,Albanien,immigration,37
2002,country,Algerien,emigration,296
2002,country,Algerien,immigration,341
2002,country,Andorra,emigration,17
2002,country,Andorra,immigration,8
2002,country,Angola,emigration,14
2002,country,Angola,immigration,18
2002,country,Argentinien,emigration,264
2002,country,Argentinien,immigration,887
2002,country,Armenien,emigration,11
2002,country,Armenien,immigration,88
2002,country,Aserbaidschan,emigration,18
2002,country,Aserbaidschan,immigration,54
2002,country,Australien,emigration,1715
2002,country,Australien,immigration,1205
2002,country,Belarus,emigration,35
2002,country,Belarus,immigration,387
2002,country,Belgien,emigration,2465
2002,country,Belgien,immigration,1960
2002,country,"Bolivien, Plurinationaler Staat",emigration,148
2002,country,"Bolivien, Plurinationaler Staat",immigration,218
2002,country,Bosnien und Herzegowina,emigration,85
2002,country,Bosnien und Herzegowina,immigration,96
2002,country,Brasilien,emigration,1069
2002,country,Brasilien,immigration,1237
2002,country,Bulgarien,emigration,120
2002,country,Bulgarien,immigration,190
2002,country,Chile,emigration,279
2002,country,Chile,immigration,416
2002,country,China,emigration,1014
2002,country,China,immigration,823
2002,country,Costa Rica,emigration,100
2002,country,Costa Rica,immigration,119
2002,country,Cote d'Ivoire,emigration,22
2002,country,Cote d'Ivoire,immigration,42
2002,country,Dänemark,emigration,724
2002,country,Dänemark,immigration,595
2002,country,Estland,emigration,43
2002,country,Estland,immigration,105
2002,country,Finnland,emigration,262
2002,country,Finnland,immigration,177
2002,country,Frankreich,emigration,6875
2002,country,Frankreich,immigration,5412
2002,country,Georgien,emigration,29
2002,country,Georgien,immigration,68
2002,country,Ghana,emigration,95
2002,country,Ghana,immigration,122
2002,country,Griechenland,emigration,1102
2002,country,Griechenland,immigration,902
2002,country,Honduras,emigration,22
2002,country,Honduras,immigration,30
2002,country,Indien,emigration,332
2002,country,Indien,immigration,414
2002,country,Indonesien,emigration,212
2002,country,Indonesien,immigration,302
2002,country,Irak,emigration,24
2002,country,Irak,immigration,45
2002,country,"Iran, Islamische Republik",emigration,155
2002,country,"Iran, Islamische Republik",immigration,137
2002,country,Irland,emigration,725
2002,country,Irland,immigration,537
2002,country,Island,emigration,87
2002,country,Island,immigration,60
2002,country,Israel,emigration,291
2002,country,Israel,immigration,432
2002,country,Italien,emigration,3264
2002,country,Italien,immigration,2503
2002,country,Japan,emigration,470
2002,country,Japan,immigration,520
2002,country,Jemen,emigration,30
2002,country,Jemen,immigration,31
2002,country,Jordanien,emigration,127
2002,country,Jordanien,immigration,133
2002,country,Kamerun,emigration,39
2002,country,Kamerun,immigration,75
2002,country,Kanada,emigration,2023
2002,country,Kanada,immigration,1104
2002,country,Kasachstan,emigration,529
2002,country,Kasachstan,immigration,33964
2002,country,Kenia,emigration,164
2002,country,Kenia,immigration,188
2002,country,Kirgisistan,emigration,49
2002,country,Kirgisistan,immigration,1715
2002,country,Kolumbien,emigration,142
2002,country,Kolumbien,immigration,311
2002,country,"Kongo, Demokratische Republik",emigration,8
2002,country,"Kongo, Demokratische Republik",immigration,5
2002,country,"Kongo, Republik",emigration,9
2002,country,"Kongo, Republik",immigration,14
2002,country,"Korea, Demokratische Volksrepublik",emigration,35
2002,country,"Korea, Demokratische Volksrepublik",immigration,25
2002,country,"Korea, Republik",emigration,102
2002,country,"Korea, Republik",immigration,119
2002,country,Kosovo,emigration,0
2002,country,Kosovo,immigration,0
2002,country,Kroatien,emigration,265
2002,country,Kroatien,immigration,252
2002,country,Kuwait,emigration,34
2002,country,Kuwait,immigration,22
2002,country,Lettland,emigration,52
2002,country,Lettland,immigration,137
2002,country,Libanon,emigration,229
2002,country,Libanon,immigration,229
2002,country,Libyen,emigration,29
2002,country,Libyen,immigration,44
2002,country,Litauen,emigration,60
2002,country,Litauen,immigration,305
2002,country,Luxemburg,emigration,667
2002,country,Luxemburg,immigration,583
2002,country,Malta,emigration,48
2002,country,Malta,immigration,46
2002,country,Marokko,emigration,164
2002,country,Marokko,immigration,228
2002,country,Mexiko,emigration,502
2002,country,Mexiko,immigration,589
2002,country,Montenegro (ab 03.06.2006),emigration,0
2002,country,Montenegro (ab 03.06.2006),immigration,0
2002,country,Namibia,emigration,262
2002,country,Namibia,immigration,295
2002,country,Neuseeland,emigration,455
2002,country,Neuseeland,immigration,306
2002,country,Nicaragua,emigration,36
2002,country,Nicaragua,immigration,65
2002,country,Niederlande,emigration,3660
2002,country,Niederlande,immigration,3772
2002,country,Niger,emigration,18
2002,country,Niger,immigration,20
2002,country,Nigeria,emigration,112
2002,country,Nigeria,immigration,137
2002,country,Nordmazedonien,emigration,49
2002,country,Nordmazedonien,immigration,37
2002,country,Norwegen,emigration,821
2002,country,Norwegen,immigration,378
2002,country,Pakistan,emigration,261
2002,country,Pakistan,immigration,233
2002,country,Paraguay,emigration,204
2002,country,Paraguay,immigration,329
2002,country,Peru,emigration,172
2002,country,Peru,immigration,226
2002,country,Philippinen,emigration,335
2002,country,Philippinen,immigration,400
2002,country,Polen,emigration,11084
2002,country,Polen,immigration,19502
2002,country,Portugal,emigration,806
2002,country,Portugal,immigration,860
2002,country,Ruanda,emigration,22
2002,country,Ruanda,immigration,19
2002,country,Rumänien,emigration,403
2002,country,Rumänien,immigration,757
2002,country,Russische Föderation,emigration,1710
2002,country,Russische Föderation,immigration,41587
2002,country,Saudi-Arabien,emigration,141
2002,country,Saudi-Arabien,immigration,186
2002,country,Schweden,emigration,1144
2002,country,Schweden,immigration,598
2002,country,Schweiz,emigration,10703
2002,country,Schweiz,immigration,4271
2002,country,Senegal,emigration,38
2002,country,Senegal,immigration,50
2002,country,Serbien,emigration,0
2002,country,Serbien,immigration,0
2002,country,Singapur,emigration,372
2002,country,Singapur,immigration,467
2002,country,Slowakei,emigration,95
2002,country,Slowakei,immigration,146
2002,country,Slowenien,emigration,129
2002,country,Slowenien,immigration,93
2002,country,Somalia,emigration,13
2002,country,Somalia,immigration,1
2002,country,Spanien,emigration,6767
2002,country,Spanien,immigration,6193
2002,country,Syrien,emigration,149
2002,country,Syrien,immigration,142
2002,country,Südafrika,emigration,960
2002,country,Südafrika,immigration,1033
2002,country,Tadschikistan,emigration,27
2002,country,Tadschikistan,immigration,61
2002,country,Tansania,emigration,113
2002,country,Tansania,immigration,130
2002,country,Thailand,emigration,659
2002,country,Thailand,immigration,761
2002,country,Tschechien,emigration,688
2002,country,Tschechien,immigration,799
2002,country,Tunesien,emigration,209
2002,country,Tunesien,immigration,245
2002,country,Türkei,emigration,1307
2002,country,Türkei,immigration,1461
2002,country,Uganda,emigration,48
2002,country,Uganda,immigration,44
2002,country,Ukraine,emigration,178
2002,country,Ukraine,immigration,3729
2002,country,Unbekanntes Ausland,emigration,5783
2002,country,Unbekanntes Ausland,immigration,188
2002,country,Ungarn,emigration,769
2002,country,Ungarn,immigration,680
2002,country,Ungeklärt / Ohne Angabe,emigration,10716
2002,country,Ungeklärt / Ohne Angabe,immigration,8669
2002,country,Uruguay,emigration,73
2002,country,Uruguay,immigration,118
2002,country,Usbekistan,emigration,38
2002,country,Usbekistan,immigration,873
2002,country,"Venezuela, Bolivarische Republik",emigration,151
2002,country,"Venezuela, Bolivarische Republik",immigration,277
2002,country,Vereinigte Arabische Emirate,emigration,309
2002,country,Vereinigte Arabische Emirate,immigration,226
2002,country,Vereinigte Staaten,emigration,13047
2002,country,Vereinigte Staaten,immigration,11268
2002,country,Vereinigtes Königreich,emigration,5806
2002,country,Vereinigtes Königreich,immigration,4464
2002,country,Vietnam,emigration,88
2002,country,Vietnam,immigration,134
2002,country,Zentralafrikanische Republik,emigration,18
2002,country,Zentralafrikanische Republik,immigration,11
2002,country,Zypern,emigration,120
2002,country,Zypern,immigration,96
2002,country,Ägypten,emigration,53
2002,country,Ägypten,immigration,54
2002,country,Äthiopien,emigration,76
2002,country,Äthiopien,immigration,84
2002,country,Österreich,emigration,6279
2002,country,Österreich,immigration,3687
2002,country,Übriges Afrika,emigration,501
2002,country,Übriges Afrika,immigration,684
2002,country,Übriges Amerika,emigration,655
2002,country,Übriges Amerika,immigration,988
2002,country,Übriges Asien,emigration,687
2002,country,Übriges Asien,immigration,774
2002,country,Übriges Europa,emigration,483
2002,country,Übriges Europa,immigration,883
2002,country,Übriges Ozeanien,emigration,86
2002,country,Übriges Ozeanien,immigration,85
2003,country,Afghanistan,emigration,156
2003,country,Afghanistan,immigration,64
2003,country,Albanien,emigration,44
2003,country,Albanien,immigration,33
2003,country,Algerien,emigration,71
2003,country,Algerien,immigration,82
2003,country,Andorra,emigration,15
2003,country,Andorra,immigration,19
2003,country,Angola,emigration,26
2003,country,Angola,immigration,15
2003,country,Argentinien,emigration,350
2003,country,Argentinien,immigration,465
2003,country,Armenien,emigration,11
2003,country,Armenien,immigration,38
2003,country,Aserbaidschan,emigration,13
2003,country,Aserbaidschan,immigration,46
2003,country,Australien,emigration,1923
2003,country,Australien,immigration,1189
2003,country,Belarus,emigration,32
2003,country,Belarus,immigration,295
2003,country,Belgien,emigration,2471
2003,country,Belgien,immigration,1929
2003,country,"Bolivien, Plurinationaler Staat",emigration,136
2003,country,"Bolivien, Plurinationaler Staat",immigration,217
2003,country,Bosnien und Herzegowina,emigration,95
2003,country,Bosnien und Herzegowina,immigration,124
2003,country,Brasilien,emigration,1114
2003,country,Brasilien,immigration,1287
2003,country,Bulgarien,emigration,141
2003,country,Bulgarien,immigration,205
2003,country,Chile,emigration,336
2003,country,Chile,immigration,369
2003,country,China,emigration,1133
2003,country,China,immigration,898
2003,country,Costa Rica,emigration,87
2003,country,Costa Rica,immigration,105
2003,country,Cote d'Ivoire,emigration,22
2003,country,Cote d'Ivoire,immigration,64
2003,country,Dänemark,emigration,741
2003,country,Dänemark,immigration,502
2003,country,Estland,emigration,60
2003,country,Estland,immigration,104
2003,country,Finnland,emigration,301
2003,country,Finnland,immigration,159
2003,country,Frankreich,emigration,6864
2003,country,Frankreich,immigration,5061
2003,country,Georgien,emigration,21
2003,country,Georgien,immigration,85
2003,country,Ghana,emigration,113
2003,country,Ghana,immigration,140
2003,country,Griechenland,emigration,1040
2003,country,Griechenland,immigration,883
2003,country,Honduras,emigration,33
2003,country,Honduras,immigration,35
2003,country,Indien,emigration,373
2003,country,Indien,immigration,387
2003,country,Indonesien,emigration,196
2003,country,Indonesien,immigration,251
2003,country,Irak,emigration,72
2003,country,Irak,immigration,64
2003,country,"Iran, Islamische Republik",emigration,194
2003,country,"Iran, Islamische Republik",immigration,130
2003,country,Irland,emigration,774
2003,country,Irland,immigration,587
2003,country,Island,emigration,66
2003,country,Island,immigration,49
2003,country,Israel,emigration,367
2003,country,Israel,immigration,365
2003,country,Italien,emigration,3083
2003,country,Italien,immigration,2531
2003,country,Japan,emigration,526
2003,country,Japan,immigration,439
2003,country,Jemen,emigration,30
2003,country,Jemen,immigration,33
2003,country,Jordanien,emigration,125
2003,country,Jordanien,immigration,138
