year,origin,destination,migrants
2002,Germany,Andorra,17.0
2002,Germany,Angola,14.0
2002,Germany,Argentinien,264.0
2002,Germany,Armenien,11.0
2002,Germany,Aserbaidschan,18.0
2002,Germany,Australien,1715.0
2002,Germany,Belarus,35.0
2002,Germany,Belgien,2465.0
2002,Germany,"Bolivien, Plurinationaler Staat",148.0
2002,Germany,Bosnien und Herzegowina,85.0
2002,Germany,Brasilien,1069.0
2002,Germany,Bulgarien,120.0
2002,Germany,Chile,279.0
2002,Germany,China,1014.0
2002,Germany,Costa Rica,100.0
2002,Germany,Cote d'Ivoire,22.0
2002,Germany,Dänemark,724.0
2002,Germany,Estland,43.0
2002,Germany,Finnland,262.0
2002,Germany,Frankreich,6875.0
2002,Germany,Georgien,29.0
2002,Germany,Ghana,95.0
2002,Germany,Griechenland,1102.0
2002,Germany,Honduras,22.0
2002,Germany,Indien,332.0
2002,Germany,Indonesien,212.0
2002,Germany,Irak,24.0
2002,Germany,"Iran, Islamische Republik",155.0
2002,Germany,Irland,725.0
2002,Germany,Island,87.0
2002,Germany,Israel,291.0
2002,Germany,Italien,3264.0
2002,Germany,Japan,470.0
2002,Germany,Jemen,30.0
2002,Germany,Jordanien,127.0
2002,Germany,Kamerun,39.0
2002,Germany,Kanada,2023.0
2002,Germany,Kasachstan,529.0
2002,Germany,Kenia,164.0
2002,Germany,Kirgisistan,49.0
2002,Germany,Kolumbien,142.0
2002,Germany,"Kongo, Demokratische Republik",8.0
2002,Germany,"Kongo, Republik",9.0
2002,Germany,"Korea, Demokratische Volksrepublik",35.0
2002,Germany,"Korea, Republik",102.0
2002,Germany,Kosovo,0.0
2002,Germany,Kroatien,265.0
2002,Germany,Kuwait,34.0
2002,Germany,Lettland,52.0
2002,Germany,Libanon,229.0
2002,Germany,Libyen,29.0
2002,Germany,Litauen,60.0
2002,Germany,Luxemburg,667.0
2002,Germany,Malta,48.0
2002,Germany,Marokko,164.0
2002,Germany,Mexiko,502.0
2002,Germany,Montenegro (ab 03.06.2006),0.0
2002,Germany,Namibia,262.0
2002,Germany,Neuseeland,455.0
2002,Germany,Nicaragua,36.0
2002,Germany,Niederlande,3660.0
2002,Germany,Niger,18.0
2002,Germany,Nigeria,112.0
2002,Germany,Nordmazedonien,49.0
2002,Germany,Norwegen,821.0
2002,Germany,Pakistan,261.0
2002,Germany,Paraguay,204.0
2002,Germany,Peru,172.0
2002,Germany,Philippinen,335.0
2002,Germany,Polen,11084.0
2002,Germany,Portugal,806.0
2002,Germany,Ruanda,22.0
2002,Germany,Rumänien,403.0
2002,Germany,Russische Föderation,1710.0
2002,Germany,Saudi-Arabien,141.0
2002,Germany,Schweden,1144.0
2002,Germany,Schweiz,10703.0
2002,Germany,Senegal,38.0
2002,Germany,Serbien,0.0
2002,Germany,Singapur,372.0
2002,Germany,Slowakei,95.0
2002,Germany,Slowenien,129.0
2002,Germany,Somalia,13.0
2002,Germany,Spanien,6767.0
2002,Germany,Syrien,149.0
2002,Germany,Südafrika,960.0
2002,Germany,Tadschikistan,27.0
2002,Germany,Tansania,113.0
2002,Germany,Thailand,659.0
2002,Germany,Tschechien,688.0
2002,Germany,Tunesien,209.0
2002,Germany,Türkei,1307.0
2002,Germany,Uganda,48.0
2002,Germany,Ukraine,178.0
2002,Germany,Unbekanntes Ausland,5783.0
2002,Germany,Ungarn,769.0
2002,Germany,Ungeklärt / Ohne Angabe,10716.0
